pi,year,doi,title,title_clean
Pinar Celikkol Geylani,2012,10.1007/s00181-012-0599-8,Linking investment spikes and productivity growth,linking investment spikes and productivity growth
Chad Shirley,2011,10.1186/gb-2011-12-12-137,Genomics in 2011: challenges and opportunities,genomics in 2011: challenges and opportunities
Chad Shirley,2022,10.3390/v14112371,Feasibility of polyclonal avian immunoglobulins (IgY) as prophylaxis against human norovirus infection,feasibility of polyclonal avian immunoglobulins (igy) as prophylaxis against human norovirus infection
Chad Shirley,2025,10.1016/j.smmf.2024.100069,"A comprehensive study on the biodegradability, biocompatibility, and antibacterial properties of additively manufactured PLA-ZnO nanocomposites","a comprehensive study on the biodegradability, biocompatibility, and antibacterial properties of additively manufactured pla-zno nanocomposites"
Chad Shirley,2024,10.1177/21925682231209869,The value of Clinical signs in the diagnosis of Degenerative Cervical Myelopathy - A Systematic review and Meta-analysis.,the value of clinical signs in the diagnosis of degenerative cervical myelopathy - a systematic review and meta-analysis.
Chad Shirley,2024,10.1177/21925682231210468,The Frequency of Symptoms in Patients With a Diagnosis of Degenerative Cervical Myelopathy: Results of a Scoping Review.,the frequency of symptoms in patients with a diagnosis of degenerative cervical myelopathy: results of a scoping review.
Chad Shirley,2022,10.1093/jnci/djac160,Copy Number Variants Are Ovarian Cancer Risk Alleles at Known and Novel Risk Loci,copy number variants are ovarian cancer risk alleles at known and novel risk loci
Chad Shirley,2021,10.5445/ir/1000139436,Author Correction: The FLUXNET2015 dataset and the ONEFlux processing pipeline for eddy covariance data,author correction: the fluxnet2015 dataset and the oneflux processing pipeline for eddy covariance data
Chad Shirley,2020,10.1038/s41597-020-0534-3,The FLUXNET2015 dataset and the ONEFlux processing pipeline for eddy covariance data,the fluxnet2015 dataset and the oneflux processing pipeline for eddy covariance data
Chad Shirley,2020,10.34657/9124,The 16th Data Release of the Sloan Digital Sky Surveys: First Release from the APOGEE-2 Southern Survey and Full Release of eBOSS Spectra,the 16th data release of the sloan digital sky surveys: first release from the apogee-2 southern survey and full release of eboss spectra
Chad Shirley,2017,10.3847/1538-3881/aa7567,"Sloan Digital Sky Survey IV: mapping the Milky Way, nearby galaxies, and the distant universe","sloan digital sky survey iv: mapping the milky way, nearby galaxies, and the distant universe"
Chad Shirley,2020,10.3847/1538-4365/ab929e,The 16th Data Release of the Sloan Digital Sky Surveys : First Release from the APOGEE-2 Southern Survey and Full Release of eBOSS Spectra,the 16th data release of the sloan digital sky surveys : first release from the apogee-2 southern survey and full release of eboss spectra
Chad Shirley,2017,10.17863/cam.25008,"Sloan Digital Sky Survey IV: Mapping the Milky Way, Nearby Galaxies, and the Distant Universe","sloan digital sky survey iv: mapping the milky way, nearby galaxies, and the distant universe"
Chad Shirley,2015,10.1088/0067-0049/219/1/12,The Eleventh and Twelfth Data Releases of the Sloan Digital Sky Survey: Final Data from SDSS-III,the eleventh and twelfth data releases of the sloan digital sky survey: final data from sdss-iii
Chad Shirley,2020,10.1016/s0140-6736,"Accelerated surgery versus standard care in hip fracture (HIP ATTACK): an international, randomised, controlled trial","accelerated surgery versus standard care in hip fracture (hip attack): an international, randomised, controlled trial"
Chad Shirley,2021,10.1212/wnl.0000000000011207,Post-intervention Status in Patients With Refractory Myasthenia Gravis Treated With Eculizumab During REGAIN and Its Open-Label Extension,post-intervention status in patients with refractory myasthenia gravis treated with eculizumab during regain and its open-label extension
Chad Shirley,2020,10.1007/s00415-020-09770-y,Minimal Symptom Expression' in Patients With Acetylcholine Receptor Antibody-Positive Refractory Generalized Myasthenia Gravis Treated With Eculizumab,minimal symptom expression' in patients with acetylcholine receptor antibody-positive refractory generalized myasthenia gravis treated with eculizumab
Chad Shirley,2020,10.1126/science.aay6690,The genetic architecture of the human cerebral cortex,the genetic architecture of the human cerebral cortex
Chad Shirley,2014,10.1088/0067-0049/211/2/17,The tenth data release of the Sloan Digital Sky Survey:first spectroscopic data from the SDSS-III Apache Point Observatory Galactic Evolution Experiment,the tenth data release of the sloan digital sky survey:first spectroscopic data from the sdss-iii apache point observatory galactic evolution experiment
David C Ribar,2013,10.2139/ssrn.2237765,Is leaving home a hardship?,is leaving home a hardship?
David C Ribar,2008,10.17848/9781435684126.ch4,Earnings Volatility and the Reasons for Leaving the Food Stamp Program,earnings volatility and the reasons for leaving the food stamp program
David C Ribar,2002,10.1086/338750,Altruistic and Joy-of-Giving Motivations in Charitable Behavior,altruistic and joy-of-giving motivations in charitable behavior
David C Ribar,2017,10.2139/ssrn.3051666,Teenage daughters as a cause of divorce,teenage daughters as a cause of divorce
David C Ribar,2001,10.1093/cep/19.2.162,A Siblings Analysis of the Effects of Alcohol Consumption Onset on Educational Attainment,a siblings analysis of the effects of alcohol consumption onset on educational attainment
David C Ribar,2002,10.1006/ssre.2001.0728,Economic Restructuring and the Retreat from Marriage,economic restructuring and the retreat from marriage
David C Ribar,2009,10.1177/0002716208324851,Welfare Reform in the Mid-2000s: How African American and Hispanic Families in Three Cities Are Faring,welfare reform in the mid-2000s: how african american and hispanic families in three cities are faring
David C Ribar,2005,10.1257/000282805774670176,"Parental Child Care in Single-Parent, Cohabiting, and Married-Couple Families: Time-Diary Evidence from the United Kingdom","parental child care in single-parent, cohabiting, and married-couple families: time-diary evidence from the united kingdom"
David C Ribar,1998,10.2307/2991504,"State Abortion Policy, Geographic Access to Abortion Providers, and Changing Family Formation","state abortion policy, geographic access to abortion providers, and changing family formation"
David C Ribar,1994,10.2307/2109967,Teenage Fertility and High School Completion,teenage fertility and high school completion
David C Ribar,1999,10.1162/003465399767923854,The Demand for Welfare Generosity,the demand for welfare generosity
David C Ribar,2001,10.1016/s0272-7757(00)00062-5,The effects of local employment opportunities on youths' work and schooling,the effects of local employment opportunities on youths' work and schooling
David C Ribar,2010,10.4284/sej.2010.77.2.244,Food stamp participation among adult-only households,food stamp participation among adult-only households
David C Ribar,1999,10.1007/s001480050113,The Socioeconomic Consequences of Young Women's Childbearing: Reconciling Disparate Evidence,the socioeconomic consequences of young women's childbearing: reconciling disparate evidence
David C Ribar,1998,10.1016/s0047-2727(98)00017-6,The Decline of Welfare Benefits in the U.S.: The Role of Wage Inequality,the decline of welfare benefits in the u.s.: the role of wage inequality
David C Ribar,1996,10.1080/000368496328173,"Welfare Generosity: The Importance of Administrative Efficiency, Community Values and Genuine Benevolence","welfare generosity: the importance of administrative efficiency, community values and genuine benevolence"
David C Ribar,2004,10.1007/s11113-004-3463-5,Transitions in Welfare Participation and Female Headship,transitions in welfare participation and female headship
David C Ribar,1997,10.2307/2953362,The Effects of Economic Conditions and Access to Reproductive Health Services on State Abortion Rates and Birthrates,the effects of economic conditions and access to reproductive health services on state abortion rates and birthrates
David C Ribar,1995,10.1086/298385,A Structural Model of Child Care and the Labor Supply of Married Women,a structural model of child care and the labor supply of married women
David C Ribar,2006,10.1016/j.socec.2005.11.014,"Exchange, role modeling and the intergenerational transmission of elder support attitudes: Evidence from three generations of Mexican-Americans","exchange, role modeling and the intergenerational transmission of elder support attitudes: evidence from three generations of mexican-americans"
David C Ribar,1993,10.1016/0272-7757(93)90026-d,A Multinomial Logit Analysis of Teenage Fertility and High School Completion,a multinomial logit analysis of teenage fertility and high school completion
David C Ribar,2004,10.1353/dem.2004.0014,Welfare Reform and Female Headship,welfare reform and female headship
David C Ribar,2005,10.2307/20062057,Transitions from welfare and the employment prospects of low-skill workers,transitions from welfare and the employment prospects of low-skill workers
David C Ribar,1997,10.1086/231173,Welfare and the Rise in Female-Headed Families,welfare and the rise in female-headed families
David C Ribar,2009,10.17848/wp09-159,Food Stamp Participation among Adult-Only Households,food stamp participation among adult-only households
David C Ribar,2017,10.2139/ssrn.2940076,The bilateral relationship between depressive symptoms and employment status,the bilateral relationship between depressive symptoms and employment status
David C Ribar,2011,10.3386/w16794,Occupational Status and Health Transitions,occupational status and health transitions
David C Ribar,2004,10.2139/ssrn.524103,Estimating Long-Term Consequences of Teenage Childbearing - An Examination of the Siblings Approach,estimating long-term consequences of teenage childbearing - an examination of the siblings approach
David C Ribar,2017,10.1074/jbc.m115.658120,Pregnancy and Smoothelin-like Protein 1 (SMTNL1) Deletion Promote the Switching of Skeletal Muscle to a Glycolytic Phenotype in Human and Mice,pregnancy and smoothelin-like protein 1 (smtnl1) deletion promote the switching of skeletal muscle to a glycolytic phenotype in human and mice
